Idweb,Short_ref,full_plants,full_insects,full_inter,dipt_plants,dipt_insects,dipt_inter,hymeno_plants,hymeno_insects,hymeno_inter,Mean_T_IPCC,T_Seasonality_IPCC,Tot_Rainfall_IPCC,Rainfall_Seasonality_IPCC,HF,Annual_time_span,Sampling_time,Sampling_effort,Sampling_type,taxo_full_sp_perc,Location,Country_location,Latitude_dec,Longitude_dec,Year,Complete_ref,Source
66,"Dattilo et al., 2016",89,170,402,27,33,50,74,62,184,"25,8","2,262",1125,98,26,365,105,"0,007",T,"54,05","Gulf of Mexico, Veracruz, Mexico", Mexico,"19,58","-96,38",2008,"Dáttilo, W., Lara-Rodríguez, N., Jordano, P., Guimarães, P. R., Thompson, J. N., Marquis, R. J., … Rico-Gray, V. (2016). Unravelling darwin’s entangled bank: Architecture and robustness of mutualistic networks with multiple interaction types. Proceedings of the Royal Society B: Biological Sciences, 283(1843). ",original publication +  GitHub: https://github.com/lucaspdmedeiros/multi-network_core_removal
68,"Devoto et al., 2005",22,111,182,13,46,75,13,29,43,"8,5","3,856",1460,55,6,60,304,"0,124",T,"51,13","Patagonia, Argentina", Argentina,"-40,15","-71,72",2000,"Devoto, M., Medan, D., & Montaldo, N. H. (2005). Patterns of interaction between plants and pollinators along an environmental gradient. Oikos, 109(3), 461–472.
Devoto, M. (2006). Interacciones planta - polinizador a lo largo de un gradiente ambiental : una aproximación en escala. Universidad de Buenos Aires.",master thesis
69,"Devoto et al., 2005",27,75,131,21,37,75,17,19,32,"7,3","3,917",1388,52,10,60,116,"0,057",T,"52,94","Patagonia, Argentina", Argentina,"-40,67","-71,73",2002,"Devoto, M., Medan, D., & Montaldo, N. H. (2005). Patterns of interaction between plants and pollinators along an environmental gradient. Oikos, 109(3), 461–472.
Devoto, M. (2006). Interacciones planta - polinizador a lo largo de un gradiente ambiental : una aproximación en escala. Universidad de Buenos Aires.",master thesis
70,"Devoto et al., 2005",41,175,311,24,80,128,28,47,98,"8,6","4,04",922,66,12,30,412,"0,057",T,"49,07","Patagonia, Argentina", Argentina,"-39,69","-71,31",2003,"Devoto, M., Medan, D., & Montaldo, N. H. (2005). Patterns of interaction between plants and pollinators along an environmental gradient. Oikos, 109(3), 461–472.
Devoto, M. (2006). Interacciones planta - polinizador a lo largo de un gradiente ambiental : una aproximación en escala. Universidad de Buenos Aires.",master thesis
71,"Dupont & Olesen, 2009",31,330,936,28,183,486,29,99,313,"7,4","5,864",788,24,23,240,"121,1","0,012",TO,"75,07",Denmark,Denmark,"56,09","9,18",2004,"Dupont, Y. L., & Olesen, J. M. (2009). Ecological modules and roles of species in heathland plant-insect flower visitor networks. The Journal of Animal Ecology, 78(2), 346–53. ",Web of life: ecological networks database (http://www.web-of-life.es/)
74,"Freitas & Sazima, 2006",101,163,445,44,41,90,95,101,314,"14,2","2,095",1816,69,8,365,1045,"0,063",TO,"60,98",southeastern Brazil, Brazil,"-22,74","-44,61",2000,"Freitas, L., & Sazima, M. (2006). Pollination biology in a tropical high-altitude grassland in Brazil: interactions at the community level. Annals of the Missouri Botanical Garden, 93(3), 465–516. ",original publication
75,"Gibson et al., 2006",25,54,165,17,31,105,12,10,23,"8,7","4,673",751,14,28,90,43,"0,032",TO,"84,81","Chedworth, Gloucestershire, UK", UK,"51,82","-1,94",2002,"Gibson, R. H., Nelson, I. L., Hopkins, G. W., Hamlett, B. J., & Memmott, J. (2006). Pollinator webs, plant communities and the conservation of rare plants: arable weeds as a case study. Journal of Applied Ecology, 43(2), 246–257. ",DRYAD: https://doi.org/10.5061/dryad.41m4d
76,"Gibson et al., 2006",5,41,59,5,32,45,3,8,11,"9,6","4,882",593,12,38,90,48,"0,234",TO,"91,3","Snettisham, Norfolk, UK", UK,"52,85","0,45",2002,"Gibson, R. H., Nelson, I. L., Hopkins, G. W., Hamlett, B. J., & Memmott, J. (2006). Pollinator webs, plant communities and the conservation of rare plants: arable weeds as a case study. Journal of Applied Ecology, 43(2), 246–257. ",DRYAD: https://doi.org/10.5061/dryad.41m4d
77,"Gibson et al., 2006",5,30,47,5,23,38,5,6,8,"10,5","4,975",634,14,54,90,44,"0,293",TO,"94,29","Aylsham, Norfolk, UK", UK,"52,81","1,33",2002,"Gibson, R. H., Nelson, I. L., Hopkins, G. W., Hamlett, B. J., & Memmott, J. (2006). Pollinator webs, plant communities and the conservation of rare plants: arable weeds as a case study. Journal of Applied Ecology, 43(2), 246–257. ",DRYAD: https://doi.org/10.5061/dryad.41m4d
81,"Jędrzejewska-Szmek & Zych, 2013",14,74,112,10,28,41,13,33,51,"7,8","7,771",504,38,61,60,12,"0,012",TO,75,"Warsaw, Poland", Poland,"52,14","21,06",2009,"Jędrzejewska-Szmek, K., & Zych, M. (2013). Flower-visitor and pollen transport networks in a large city: Structure and properties. Arthropod-Plant Interactions, 7(5), 503–516.",original publication
