Epsilon,Missing Network,Test Loss,Train Loss,AUC,AP,F1
0.7,3,0.6716799139976501,0.6941596160829068,0.6591632653061225,0.6149204716960293,0.5787878787878787
0.7,0,0.6654984951019287,0.6864875400960445,0.6655862799770306,0.6366102537250755,0.5803108808290155
0.7,1,0.6616926193237305,0.6913948514461518,0.6947148608857641,0.6760797639271638,0.567032967032967
0.7,2,0.7214207649230957,0.6978439470529556,0.5833795918367347,0.5738994916458846,0.5686813186813187
0.7,3,0.6669753193855286,0.6962749731540679,0.6697510204081633,0.6408838938365461,0.6186440677966102
0.8,0,0.672552764415741,0.6845724095702171,0.656888085875226,0.6616464372505433,0.6029723991507431
0.8,1,0.6497525572776794,0.6813386227488518,0.6932345389847305,0.6379125159751509,0.6504347826086957
0.8,2,0.7165980339050293,0.6929311087429524,0.5788553392196365,0.5700827248391911,0.565
0.8,3,0.6662197113037109,0.6915655300319195,0.6824046331367265,0.6373256027587813,0.5876010781671159
0.8,0,0.651436984539032,0.6827237561941147,0.6919034966521417,0.6884601859623933,0.605586592178771
0.8,1,0.6447252631187439,0.6850151071846485,0.7109477050583307,0.6855627540966114,0.6041275797373359
0.8,2,0.6979646682739258,0.6935215924680233,0.608105523042067,0.5704912899230421,0.5958986731001207
0.8,3,0.6652781367301941,0.6912096698880196,0.6815095382566693,0.6307607228408098,0.587431693989071
0.8,0,0.6667325496673584,0.6846208766698837,0.6652396641513444,0.6255881075989616,0.5809312638580931
0.8,1,0.6485294699668884,0.6853729819059372,0.7079185622269267,0.6585057129936047,0.5988909426987061
0.8,2,0.7202336192131042,0.6946722669601441,0.5764133404271854,0.5665093807395234,0.544529262086514
0.8,3,0.68744957447052,0.6935504893362522,0.6385795315356059,0.5974995317390654,0.5613079019073569
